  Run_nr	    Time	   Alpha	Delta_Pb	   P_bar	       T	     rpm	     rho	    P001	    P002	    P003	    P004	    P005	    P006	    P007	    P008	    P009	    P010	    P011	    P012	    P013	    P014	    P015	    P016	    P017	    P018	    P019	    P020	    P021	    P022	    P023	    P024	    P025	    P026	    P027	    P028	    P029	    P030	    P031	    P032	    P033	    P034	    P035	    P036	    P037	    P038	    P039	    P040	    P041	    P042	    P043	    P044	    P045	    P046	    P047	    P048	    P049	    P050	    P051	    P052	    P053	    P054	    P055	    P056	    P057	    P058	    P059	    P060	    P061	    P062	    P063	    P064	    P065	    P066	    P067	    P068	    P069	    P070	    P071	    P072	    P073	    P074	    P075	    P076	    P077	    P078	    P079	    P080	    P081	    P082	    P083	    P084	    P085	    P086	    P087	    P088	    P089	    P090	    P091	    P092	    P093	    P094	    P095	    P096	    P097	    P098	    P099	    P100	    P101	    P102	    P103	    P104	    P105	    P106	    P107	    P108	    P109	    P110	    P111	    P112	    P113
       /	   H:M:S	 degrees	      Pa	      Pa	 degr._C	   1/min	  kg/m^3	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa
       1	 12:19:55	  -0.000	  152.96	 1008.98	   22.30	  949.87	   1.190	  312.07	  185.17	  108.21	   -8.45	  -77.24	 -101.01	 -107.45	 -120.24	 -119.66	 -116.14	 -109.16	 -114.58	 -108.93	 -102.78	  -90.83	  -80.71	  -71.21	  -64.05	  -60.80	  -57.23	  -58.28	   -6.26	   29.81	   39.63	   40.40	  312.35	   54.46	  -41.72	  -59.00	  -59.96	  -55.06	  -49.62	  -46.24	  -43.11	  -40.02	  -37.14	  -34.36	  -32.28	  -28.90	  -25.76	  -21.95	  -17.77	  -12.76	   -7.16	   -1.74	    3.70	    7.90	   10.96	   40.40	  323.47	  322.82	  322.82	  322.58	  322.91	  323.30	  322.59	  323.15	  322.86	  322.81	  323.52	  322.74	  323.63	  322.17	  323.21	  322.42	  322.89	  321.18	  323.49	  325.29	  323.93	  319.80	  314.92	  304.46	  291.21	  285.75	  294.25	  305.22	  315.43	  321.06	  321.76	  323.83	  323.58	  324.44	  323.02	  322.65	  323.60	  322.99	  322.30	  324.23	  322.40	  323.43	  323.41	  321.60	  321.87	  324.06	  323.14	  324.06	   15.61	   16.48	   17.49	   16.75	   16.74	   16.15	   17.01	   17.21	   17.25	   16.56	   16.58	   15.99	    1.50	    0.09	    0.06	    0.02
       2	 12:22:05	  -5.000	  154.57	 1008.81	   22.54	  949.78	   1.189	  -95.73	  257.28	  297.16	  189.67	   86.23	   39.75	    8.11	  -17.37	  -28.00	  -37.10	  -37.81	  -52.20	  -54.31	  -57.20	  -51.57	  -44.91	  -38.59	  -28.72	  -21.99	  -14.29	   -9.75	   -4.98	   -0.70	   -1.31	   29.16	  -92.08	 -622.57	 -589.48	 -293.26	 -227.25	 -186.48	 -160.91	 -138.73	 -123.35	 -109.96	  -98.44	  -88.58	  -79.97	  -71.19	  -62.71	  -54.50	  -46.12	  -36.98	  -26.99	  -16.84	   -5.65	    5.53	   16.80	   29.16	  328.88	  328.44	  328.35	  328.27	  328.37	  328.98	  327.80	  328.90	  328.50	  328.41	  329.10	  328.47	  329.50	  327.71	  328.76	  328.63	  328.37	  327.12	  329.39	  331.01	  330.21	  327.11	  325.12	  310.91	  286.40	  259.17	  256.67	  278.45	  305.05	  322.62	  326.46	  328.82	  328.56	  329.22	  328.15	  327.51	  328.81	  328.19	  327.24	  329.64	  327.52	  329.66	  328.75	  326.44	  327.10	  329.87	  328.16	  329.34	   17.20	   14.75	   15.97	   15.71	   16.29	   16.51	   17.68	   17.45	   18.10	   17.84	   18.00	   13.71	    2.06	    0.13	    0.10	   -0.05
       3	 12:22:29	  -4.000	  156.47	 1008.83	   22.57	  949.75	   1.188	   -1.72	  261.35	  275.71	  157.10	   56.35	   13.82	  -10.49	  -38.99	  -46.12	  -54.29	  -54.00	  -65.75	  -66.05	  -67.11	  -59.34	  -51.84	  -45.02	  -33.97	  -27.62	  -19.41	  -16.44	  -12.49	   -8.74	   -5.89	   31.53	    2.03	 -586.89	 -397.42	 -282.91	 -214.01	 -171.42	 -136.21	 -114.11	 -102.08	  -91.51	  -83.11	  -75.73	  -68.64	  -61.44	  -54.16	  -47.21	  -39.76	  -31.40	  -22.19	  -12.47	   -1.66	    9.52	   20.89	   31.53	  328.76	  328.17	  328.13	  328.02	  328.05	  328.62	  327.44	  328.57	  328.05	  328.11	  328.87	  328.04	  329.17	  327.31	  328.73	  328.23	  327.92	  326.70	  329.00	  330.63	  329.92	  325.92	  319.73	  299.25	  275.57	  270.21	  288.68	  310.61	  323.43	  328.75	  327.26	  328.71	  328.34	  329.50	  327.92	  327.19	  328.48	  327.95	  327.01	  329.31	  327.19	  329.38	  328.28	  326.12	  326.73	  329.74	  327.87	  329.11	   16.90	   15.43	   16.59	   16.23	   16.68	   16.74	   18.12	   18.02	   18.01	   17.66	   17.78	   14.53	    2.14	    0.11	   -0.00	   -0.17
       4	 12:22:53	  -3.000	  153.66	 1008.81	   22.60	  950.37	   1.188	  104.47	  258.35	  245.03	  121.51	   24.26	  -12.06	  -33.17	  -58.31	  -64.33	  -68.53	  -68.20	  -77.29	  -76.61	  -75.55	  -67.76	  -58.85	  -50.20	  -39.37	  -34.01	  -26.27	  -25.25	  -20.88	  -18.68	   18.08	   29.85	  105.23	 -401.49	 -304.54	 -223.23	 -170.48	 -139.03	 -117.97	 -104.73	  -94.05	  -84.92	  -77.25	  -70.46	  -65.03	  -58.76	  -52.71	  -45.34	  -36.27	  -26.49	  -16.89	   -7.65	    2.02	   12.19	   23.08	   29.85	  326.73	  326.52	  326.32	  325.96	  326.19	  326.73	  325.78	  326.76	  326.36	  326.41	  326.86	  326.16	  327.30	  325.61	  326.73	  326.50	  326.07	  325.43	  327.01	  328.68	  327.56	  321.62	  308.69	  287.35	  276.21	  287.93	  306.03	  319.69	  325.68	  327.59	  325.42	  326.99	  327.06	  327.23	  326.83	  326.08	  327.39	  326.70	  325.88	  328.22	  325.99	  328.14	  327.20	  325.00	  325.59	  328.32	  326.73	  327.83	   16.76	   15.98	   17.08	   16.59	   16.91	   17.37	   18.10	   18.07	   17.99	   17.61	   17.64	   15.17	    2.03	    0.11	    0.00	   -0.21
       5	 12:23:16	  -2.000	  155.24	 1008.83	   22.61	  950.23	   1.188	  203.83	  248.44	  208.06	   84.53	   -2.79	  -39.74	  -57.64	  -77.01	  -82.41	  -83.90	  -80.47	  -90.64	  -86.11	  -84.04	  -75.12	  -64.41	  -54.97	  -45.71	  -41.36	  -35.11	  -34.60	  -33.79	   -0.86	   38.55	   29.89	  204.92	 -234.49	 -217.33	 -168.05	 -133.45	 -111.00	  -95.69	  -86.03	  -77.80	  -70.55	  -64.27	  -58.76	  -54.38	  -48.60	  -43.72	  -38.57	  -33.33	  -27.81	  -22.29	  -17.05	  -10.76	    0.13	   19.62	   29.89	  327.78	  327.28	  327.10	  326.79	  327.07	  327.61	  327.12	  327.59	  327.15	  327.27	  327.84	  327.16	  328.34	  326.38	  327.56	  327.33	  326.82	  326.62	  327.73	  329.03	  324.35	  311.95	  295.46	  284.90	  289.61	  306.18	  318.21	  325.49	  327.66	  328.49	  326.39	  327.83	  327.65	  328.18	  327.19	  326.52	  327.90	  327.23	  326.40	  328.68	  326.48	  328.66	  327.62	  325.56	  326.00	  328.98	  327.00	  328.44	   16.64	   16.43	   17.48	   16.95	   17.21	   17.99	   17.79	   18.28	   17.97	   17.56	   17.58	   15.73	    1.99	    0.07	    0.03	   -0.16
       6	 12:23:32	  -1.000	  157.12	 1008.86	   22.62	  950.31	   1.188	  279.16	  226.84	  163.66	   40.09	  -37.25	  -72.36	  -83.67	  -98.04	 -103.81	 -102.27	  -95.55	 -105.34	  -97.84	  -96.83	  -85.00	  -74.22	  -63.52	  -56.64	  -52.15	  -47.66	  -46.48	  -39.29	   21.21	   42.86	   31.99	  278.89	  -81.63	 -130.45	 -114.82	  -99.00	  -84.57	  -75.44	  -68.23	  -62.42	  -57.34	  -52.56	  -48.41	  -44.89	  -40.31	  -36.06	  -31.42	  -26.56	  -20.99	  -15.19	   -9.91	   -4.86	   -0.98	    2.30	   31.99	  330.38	  330.11	  330.01	  329.69	  329.79	  330.65	  329.98	  330.34	  329.95	  329.89	  330.57	  329.92	  330.92	  329.28	  330.29	  330.02	  329.79	  329.29	  329.83	  328.94	  316.00	  296.87	  286.56	  292.42	  303.65	  318.97	  326.19	  329.95	  330.73	  331.32	  329.12	  330.46	  330.48	  330.95	  330.09	  329.46	  330.77	  330.14	  329.12	  331.62	  329.39	  331.59	  330.63	  328.35	  329.11	  331.48	  330.02	  331.42	   15.75	   16.24	   17.32	   16.61	   16.62	   17.82	   16.97	   17.75	   17.30	   16.70	   16.75	   15.67	    1.69	    0.05	    0.08	   -0.18
       7	 12:23:49	  -0.000	  156.79	 1008.84	   22.64	  949.69	   1.188	  316.56	  186.44	  107.43	  -10.08	  -75.98	 -100.96	 -110.48	 -120.90	 -122.40	 -119.64	 -110.19	 -118.14	 -109.75	 -105.46	  -93.54	  -82.59	  -71.54	  -65.84	  -62.50	  -58.97	  -59.89	   -6.42	   29.41	   39.60	   38.89	  318.67	   51.58	  -45.17	  -60.96	  -62.41	  -56.43	  -51.86	  -48.28	  -44.98	  -41.85	  -38.86	  -36.04	  -34.17	  -30.44	  -27.14	  -23.32	  -19.06	  -13.91	   -8.31	   -2.78	    2.76	    7.02	    9.95	   38.89	  328.89	  328.57	  328.42	  328.16	  328.34	  328.80	  328.40	  328.77	  328.44	  328.32	  328.87	  328.31	  329.53	  327.74	  329.06	  328.49	  327.93	  326.60	  323.83	  316.21	  297.36	  289.73	  297.70	  311.47	  320.64	  327.48	  328.41	  329.01	  329.15	  329.79	  327.63	  329.00	  328.60	  327.59	  328.16	  327.70	  328.69	  328.08	  327.36	  329.50	  327.56	  329.67	  328.61	  326.60	  327.24	  329.50	  328.15	  329.38	   14.71	   15.94	   16.98	   16.14	   15.10	   17.08	   15.03	   16.60	   16.47	   15.71	   15.73	   15.46	    0.75	    0.05	    0.06	    0.01
       8	 12:24:07	   1.000	  156.90	 1008.84	   22.67	  949.78	   1.188	  323.50	  120.43	   32.28	  -72.14	 -125.58	 -141.24	 -145.20	 -151.32	 -148.72	 -144.60	 -130.10	 -137.40	 -126.21	 -121.41	 -108.79	  -98.29	  -87.81	  -82.01	  -79.52	  -78.06	  -52.97	    1.02	   19.94	   27.51	   32.37	  326.05	  176.29	   43.57	   -1.17	  -18.67	  -21.95	  -23.00	  -23.66	  -22.92	  -21.95	  -20.77	  -19.33	  -18.43	  -15.91	  -13.28	  -10.32	   -6.66	   -1.72	    3.89	    9.65	   15.46	   19.99	   23.04	   32.37	  329.38	  329.03	  328.90	  328.66	  328.75	  329.26	  329.02	  329.35	  329.28	  328.79	  329.53	  328.75	  329.70	  328.03	  329.37	  328.98	  327.86	  322.95	  307.56	  287.59	  283.09	  295.73	  312.37	  324.76	  328.26	  329.79	  329.07	  329.53	  329.54	  330.25	  327.92	  329.46	  329.27	  329.29	  328.84	  328.18	  329.39	  328.96	  327.88	  330.21	  328.11	  330.23	  329.34	  327.12	  327.82	  330.10	  328.65	  329.62	   13.92	   16.63	   17.57	   16.48	   15.73	   17.25	   16.91	   16.34	   15.93	   15.04	   15.05	   16.39	    0.59	    0.05	    0.06	    0.00
       9	 12:24:38	   2.000	  158.39	 1008.85	   22.70	  950.21	   1.188	  312.58	   48.55	  -35.90	 -131.64	 -170.65	 -177.75	 -176.30	 -176.96	 -171.09	 -163.50	 -148.56	 -150.89	 -140.06	 -135.90	 -120.73	 -110.15	 -100.89	  -97.21	  -96.00	  -86.32	  -21.23	    0.70	   14.00	   24.35	   39.12	  314.51	  253.18	  109.85	   43.65	   12.73	    3.96	   -2.09	   -5.58	   -7.29	   -8.16	   -8.50	   -8.39	   -8.82	   -7.47	   -5.86	   -3.94	   -1.28	    2.81	    7.67	   13.12	   19.27	   24.83	   29.40	   39.12	  331.74	  331.39	  331.18	  330.96	  331.11	  331.65	  331.24	  331.69	  331.99	  331.21	  331.90	  331.13	  332.28	  330.42	  331.50	  331.33	  327.61	  311.44	  287.54	  282.94	  297.90	  315.13	  327.33	  331.02	  331.47	  332.20	  331.12	  331.83	  331.77	  332.50	  330.45	  331.68	  332.06	  332.73	  331.61	  330.94	  331.98	  331.45	  330.67	  333.05	  330.70	  333.00	  332.07	  329.90	  330.58	  332.63	  331.53	  332.23	   13.40	   16.97	   17.88	   16.64	   15.80	   17.14	   17.27	   16.13	   15.61	   14.57	   14.59	   16.94	    0.73	    0.03	    0.06	    0.02
