Point,x/c,Cp,Surface
P001,0.0,0.906833015256348,Upper
P002,0.0035626000000000004,0.7368749146752757,Upper
P003,0.0133331,0.5316388138589121,Upper
P004,0.0366108,0.1302297448833178,Upper
P005,0.072922,-0.12100419049397822,Upper
P006,0.1135604,-0.23505673084951043,Upper
P007,0.1559135,-0.271796526674662,Upper
P008,0.1991328,-0.31847653251086244,Upper
P009,0.2428443,-0.33722000040751354,Upper
P010,0.2868627,-0.3322174110555477,Upper
P011,0.33105179999999995,-0.31038793024696965,Upper
P012,0.3753128,-0.342190105413038,Upper
P013,0.4195991,-0.31782684558203567,Upper
P014,0.4638793,-0.3145459265914607,Upper
P015,0.508156,-0.27611694475135967,Upper
P016,0.552486,-0.24109881928759902,Upper
P017,0.5969223,-0.20634056859536903,Upper
P018,0.6413685,-0.18399133824372957,Upper
P019,0.6857899999999999,-0.1694058666915695,Upper
P020,0.7302401000000001,-0.15482039513940943,Upper
P021,0.7747356999999999,-0.15098724225933174,Upper
P022,0.8193114,-0.12763099716801085,Upper
P023,0.8638589,0.06889929880207459,Upper
P024,0.908108,0.13922790884756794,Upper
P025,1.0,0.10391742426583525,Upper
P026,0.0,0.9059559379024318,Lower
P027,0.0043123,-0.26516972000062927,Lower
P028,0.0147147,-0.42375829932723375,Lower
P029,0.039247899999999995,-0.37298526583942493,Lower
P030,0.07795060000000001,-0.3215950297692307,Lower
P031,0.120143,-0.2747201178543822,Lower
P032,0.1632276,-0.24506190955344206,Lower
P033,0.2067013,-0.2216406957692385,Lower
P034,0.2503792,-0.20276729048682202,Lower
P035,0.2941554,-0.18626524249462312,Lower
P036,0.3379772,-0.1707377248956643,Lower
P037,0.3818675,-0.15725672112250966,Lower
P038,0.42575270000000004,-0.14582223117515924,Lower
P039,0.46962780000000004,-0.13094440050502718,Lower
P040,0.5135062,-0.11713855326745919,Lower
P041,0.5573662,-0.10206581651867908,Lower
P042,0.6012075,-0.08627842414818956,Lower
P043,0.6450502,-0.06818464318036517,Lower
P044,0.688901,-0.04934372224439004,Lower
P045,0.7328011,-0.03219198732336441,Lower
P046,0.7767783,-0.015787392370489508,Lower
P047,0.8207965,-0.0031834659512509707,Lower
P048,0.8647978000000001,0.007471399681507379,Lower
P049,1.0,0.10391742426583525,Lower
