Point,x/c,Cp,Surface
P001,0.0,-3.9813240806637435,Upper
P002,0.0035626000000000004,-2.537975192358313,Upper
P003,0.0133331,-2.5219659719235654,Upper
P004,0.0366108,-2.0452027695769592,Upper
P005,0.072922,-1.729294115408056,Upper
P006,0.1135604,-1.501386455554381,Upper
P007,0.1559135,-1.2421564078935907,Upper
P008,0.1991328,-1.1079838937738005,Upper
P009,0.2428443,-1.0202149171460329,Upper
P010,0.2868627,-0.9323796497504192,Upper
P011,0.33105179999999995,-0.8264801481168397,Upper
P012,0.3753128,-0.7891915912036075,Upper
P013,0.4195991,-0.7174318350105874,Upper
P014,0.4638793,-0.6538921340304397,Upper
P015,0.508156,-0.5714264188303315,Upper
P016,0.552486,-0.4868062536752366,Upper
P017,0.5969223,-0.4178970004995835,Upper
P018,0.6413685,-0.34709846044032666,Upper
P019,0.6857899999999999,-0.27371458043508573,Upper
P020,0.7302401000000001,-0.2038441111256693,Upper
P021,0.7747356999999999,-0.14216055164520255,Upper
P022,0.8193114,-0.07524002150492184,Upper
P023,0.8638589,-0.009777888257247553,Upper
P024,0.908108,0.04066938607336524,Upper
P025,1.0,0.10918089464194385,Upper
P026,0.0,-4.000283240267627,Lower
P027,0.0043123,0.5004621518514604,Lower
P028,0.0147147,1.0682757238341987,Lower
P029,0.039247899999999995,0.8735465932873195,Lower
P030,0.07795060000000001,0.6597257216008653,Lower
P031,0.120143,0.5207471268122587,Lower
P032,0.1632276,0.4332433132558738,Lower
P033,0.2067013,0.37557034523007465,Lower
P034,0.2503792,0.3301943146396614,Lower
P035,0.2941554,0.2920108323605116,Lower
P036,0.3379772,0.25956150150001894,Lower
P037,0.3818675,0.23347608435271783,Lower
P038,0.42575270000000004,0.20888220948194602,Lower
P039,0.46962780000000004,0.19022135833336848,Lower
P040,0.5135062,0.1737149571397777,Lower
P041,0.5573662,0.15999276819570826,Lower
P042,0.6012075,0.14869019227800853,Lower
P043,0.6450502,0.14186224318989668,Lower
P044,0.688901,0.13821625095838067,Lower
P045,0.7328011,0.13752019789600034,Lower
P046,0.7767783,0.14083473628828763,Lower
P047,0.8207965,0.14607170694810157,Lower
P048,0.8647978000000001,0.15323110987544214,Lower
P049,1.0,0.10918089464194385,Lower
