xflr5 v6.61
SD6060-104-88
T1_Re0.231_M0.00_N9.0
Alpha =   0.5,  Re =   231000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.245     0.153     0.869     0.920
 0.9902    0.242     0.105     0.871     0.946
 0.9703    0.186     0.097     0.902     0.950
 0.9483    0.143     0.080     0.926     0.959
 0.9258    0.104     0.061     0.946     0.969
 0.9031    0.069     0.041     0.965     0.979
 0.8803    0.036     0.021     0.982     0.989
 0.8575    0.005    -0.003     0.998     1.002
 0.8346   -0.026    -0.041     1.013     1.020
 0.8117   -0.056    -0.114     1.028     1.055
 0.7888   -0.085    -0.235     1.042     1.111
 0.7660   -0.112    -0.286     1.055     1.134
 0.7432   -0.139    -0.293     1.067     1.137
 0.7204   -0.165    -0.298     1.079     1.139
 0.6976   -0.191    -0.304     1.091     1.142
 0.6748   -0.216    -0.311     1.103     1.145
 0.6521   -0.239    -0.318     1.113     1.148
 0.6293   -0.262    -0.326     1.123     1.152
 0.6065   -0.285    -0.337     1.134     1.156
 0.5837   -0.309    -0.349     1.144     1.161
 0.5610   -0.334    -0.363     1.155     1.167
 0.5383   -0.359    -0.379     1.166     1.174
 0.5156   -0.382    -0.398     1.176     1.182
 0.4930   -0.402    -0.418     1.184     1.191
 0.4704   -0.419    -0.437     1.191     1.199
 0.4477   -0.434    -0.454     1.198     1.206
 0.4251   -0.447    -0.469     1.203     1.212
 0.4024   -0.459    -0.483     1.208     1.218
 0.3797   -0.469    -0.495     1.212     1.223
 0.3571   -0.478    -0.506     1.216     1.227
 0.3345   -0.486    -0.516     1.219     1.231
 0.3118   -0.493    -0.525     1.222     1.235
 0.2892   -0.499    -0.533     1.224     1.238
 0.2667   -0.506    -0.541     1.227     1.242
 0.2442   -0.512    -0.549     1.229     1.244
 0.2219   -0.516    -0.555     1.231     1.247
 0.1996   -0.519    -0.560     1.233     1.249
 0.1775   -0.520    -0.563     1.233     1.250
 0.1555   -0.518    -0.563     1.232     1.250
 0.1338   -0.513    -0.561     1.230     1.249
 0.1124   -0.502    -0.553     1.225     1.246
 0.0915   -0.482    -0.537     1.217     1.240
 0.0713   -0.446    -0.506     1.202     1.227
 0.0522   -0.381    -0.445     1.175     1.202
 0.0346   -0.271    -0.350     1.127     1.162
 0.0207   -0.112    -0.190     1.055     1.091
 0.0112    0.160     0.065     0.916     0.967
 0.0055    0.345     0.241     0.809     0.871
 0.0024    0.606     0.506     0.628     0.703
 0.0007    0.884     0.812     0.340     0.433
 0.0001    0.996     0.996    -0.060     0.060
 0.0006    0.690     0.819    -0.557    -0.425
 0.0023    0.389     0.528    -0.781    -0.687
 0.0057    0.259     0.371    -0.861    -0.793
 0.0122    0.053     0.162    -0.973    -0.916
 0.0216   -0.040     0.044    -1.020    -0.978
 0.0358   -0.099    -0.026    -1.048    -1.013
 0.0557   -0.125    -0.067    -1.061    -1.033
 0.0763   -0.133    -0.082    -1.065    -1.040
 0.0983   -0.134    -0.089    -1.065    -1.043
 0.1205   -0.132    -0.091    -1.064    -1.044
 0.1429   -0.130    -0.091    -1.063    -1.045
 0.1656   -0.127    -0.090    -1.061    -1.044
 0.1883   -0.123    -0.089    -1.060    -1.043
 0.2111   -0.120    -0.087    -1.058    -1.042
 0.2340   -0.117    -0.085    -1.057    -1.041
 0.2570   -0.114    -0.083    -1.056    -1.041
 0.2799   -0.112    -0.081    -1.054    -1.040
 0.3029   -0.109    -0.078    -1.053    -1.038
 0.3259   -0.106    -0.076    -1.052    -1.037
 0.3489   -0.104    -0.074    -1.051    -1.036
 0.3720   -0.102    -0.071    -1.050    -1.035
 0.3950   -0.099    -0.068    -1.048    -1.033
 0.4180   -0.096    -0.065    -1.047    -1.032
 0.4410   -0.094    -0.061    -1.046    -1.030
 0.4641   -0.091    -0.057    -1.044    -1.028
 0.4871   -0.087    -0.053    -1.042    -1.026
 0.5101   -0.082    -0.047    -1.040    -1.023
 0.5331   -0.078    -0.041    -1.038    -1.020
 0.5562   -0.073    -0.035    -1.036    -1.017
 0.5792   -0.068    -0.027    -1.033    -1.013
 0.6022   -0.061    -0.018    -1.030    -1.009
 0.6252   -0.054    -0.008    -1.027    -1.004
 0.6482   -0.045     0.002    -1.022    -0.999
 0.6712   -0.036     0.013    -1.018    -0.993
 0.6942   -0.026     0.024    -1.013    -0.988
 0.7172   -0.014     0.034    -1.007    -0.983
 0.7403   -0.001     0.043    -1.000    -0.979
 0.7633    0.013     0.050    -0.994    -0.975
 0.7864    0.026     0.055    -0.987    -0.972
 0.8095    0.040     0.060    -0.980    -0.970
 0.8327    0.056     0.063    -0.972    -0.968
 0.8558    0.073     0.066    -0.963    -0.967
 0.8789    0.092     0.068    -0.953    -0.966
 0.9020    0.113     0.069    -0.942    -0.965
 0.9249    0.136     0.070    -0.929    -0.964
 0.9477    0.165     0.072    -0.914    -0.964
 0.9700    0.200     0.073    -0.895    -0.963
 0.9901    0.245     0.120    -0.869    -0.938
 1.0000    0.245     0.153    -0.869    -0.920


