xflr5 v6.61

Plane name :        3d Wing analyses
Polar name :        T1-22.6 m/s-LLT
Freestream speed :  22.553 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.220339   0.003268   0.014382   0.017650   0.000000   0.000000   0.008202   0.000000  -0.000000   22.5530     0.0049
   -4.500     0.000  -0.185078   0.002327   0.012677   0.015004   0.000000   0.000000   0.000402   0.000000   0.000000   22.5530    -0.0007
   -4.000     0.000  -0.155256   0.001646   0.011169   0.012816   0.000000   0.000000  -0.004944   0.000000   0.000000   22.5530    -0.0062
   -3.500     0.000  -0.128139   0.001123   0.009857   0.010980   0.000000   0.000000  -0.008914   0.000000   0.000000   22.5530    -0.0123
   -3.000     0.000  -0.098970   0.000668   0.009285   0.009953   0.000000   0.000000  -0.012776   0.000000   0.000000   22.5530    -0.0220
   -2.500     0.000  -0.066358   0.000303   0.009245   0.009548   0.000000   0.000000  -0.018255   0.000000   0.000000   22.5530    -0.0458
   -2.000     0.000  -0.032451   0.000075   0.009310   0.009385   0.000000   0.000000  -0.024260   0.000000   0.000000   22.5530    -0.1240
   -1.500     0.000   0.002049  -0.000000   0.009427   0.009427   0.000000  -0.000000  -0.030785   0.000000   0.000000   22.5530     2.2842
   -1.000     0.000   0.039867   0.000100   0.009560   0.009660   0.000000  -0.000000  -0.039035   0.000000   0.000000   22.5530     0.1605
   -0.500     0.000   0.083649   0.000446   0.009697   0.010142   0.000000  -0.000000  -0.050732   0.000000  -0.000000   22.5530     0.0977
    0.000     0.000   0.131593   0.001111   0.009802   0.010913   0.000000  -0.000000  -0.064840   0.000000   0.000000   22.5530     0.0790
    0.500     0.000   0.186512   0.002233   0.009854   0.012087   0.000000  -0.000000  -0.083042   0.000000   0.000000   22.5530     0.0712
    1.000     0.000   0.235740   0.003582   0.009863   0.013446   0.000000  -0.000000  -0.098380   0.000000   0.000000   22.5530     0.0667
    1.500     0.000   0.286973   0.005315   0.009804   0.015119   0.000000  -0.000000  -0.115009   0.000000   0.000000   22.5530     0.0639
    2.000     0.000   0.335261   0.007275   0.009751   0.017026   0.000000  -0.000000  -0.130192   0.000000   0.000000   22.5530     0.0619
    2.500     0.000   0.383884   0.009548   0.009637   0.019185   0.000000  -0.000000  -0.145594   0.000000   0.000000   22.5530     0.0604
    3.000     0.000   0.424211   0.011724   0.009552   0.021275   0.000000  -0.000000  -0.156856   0.000000   0.000000   22.5530     0.0588
    3.500     0.000   0.458497   0.013780   0.009503   0.023283   0.000000  -0.000000  -0.164921   0.000000   0.000000   22.5530     0.0572
    7.000     0.000   0.680782   0.030861   0.009965   0.040826   0.000000  -0.000000  -0.210030   0.000000   0.000000   22.5530     0.0487
    7.500     0.000   0.710860   0.033695   0.010249   0.043944   0.000000  -0.000000  -0.215533   0.000000   0.000000   22.5530     0.0477
    8.000     0.000   0.739727   0.036559   0.010721   0.047280   0.000000  -0.000000  -0.220604   0.000000   0.000000   22.5530     0.0469
    8.500     0.000   0.768425   0.039515   0.011322   0.050836   0.000000  -0.000000  -0.225709   0.000000   0.000000   22.5530     0.0461
    9.000     0.000   0.797078   0.042569   0.012023   0.054592   0.000000  -0.000000  -0.230900   0.000000   0.000000   22.5530     0.0454
    9.500     0.000   0.825037   0.045660   0.012842   0.058502   0.000000  -0.000000  -0.235858   0.000000   0.000000   22.5530     0.0447
   10.000     0.000   0.849832   0.048620   0.014030   0.062650   0.000000  -0.000000  -0.239588   0.000000   0.000000   22.5530     0.0440
   10.500     0.000   0.872615   0.051428   0.015468   0.066895   0.000000  -0.000000  -0.242319   0.000000   0.000000   22.5530     0.0433
   11.000     0.000   0.892640   0.054028   0.017180   0.071209   0.000000  -0.000000  -0.243805   0.000000   0.000000   22.5530     0.0425
   11.500     0.000   0.913431   0.056705   0.018905   0.075610   0.000000  -0.000000  -0.245606   0.000000   0.000000   22.5530     0.0417
   12.000     0.000   0.934466   0.059493   0.020652   0.080145   0.000000  -0.000000  -0.247662   0.000000  -0.000000   22.5530     0.0410
   12.500     0.000   0.955347   0.062323   0.022498   0.084821   0.000000  -0.000000  -0.249875   0.000000   0.000000   22.5530     0.0404
   13.000     0.000   0.973346   0.064981   0.025370   0.090351   0.000000  -0.000000  -0.251351   0.000000   0.000000   22.5530     0.0398
   13.500     0.000   0.987702   0.067268   0.027972   0.095240   0.000000  -0.000000  -0.251719   0.000000   0.000000   22.5530     0.0391


