xflr5 v6.61

Plane name :        3d Wing analyses
Polar name :        T1-22.6 m/s-Panel-Inviscid
Freestream speed :  22.553 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.246254   0.003780   0.000000   0.003780  -0.000000   0.000000   0.030929   0.000000   0.000000   22.5530     0.0193
   -4.500     0.000  -0.210475   0.002760   0.000000   0.002760  -0.000000   0.000000   0.022466   0.000000   0.000000   22.5530     0.0162
   -4.000     0.000  -0.174651   0.001899   0.000000   0.001899  -0.000000   0.000000   0.013983   0.000000   0.000000   22.5530     0.0119
   -3.500     0.000  -0.138788   0.001198   0.000000   0.001198  -0.000000   0.000000   0.005481   0.000000   0.000000   22.5530     0.0053
   -3.000     0.000  -0.102895   0.000657   0.000000   0.000657  -0.000000   0.000000  -0.003036   0.000000   0.000000   22.5530    -0.0059
   -2.500     0.000  -0.066977   0.000278   0.000000   0.000278  -0.000000   0.000000  -0.011567   0.000000   0.000000   22.5530    -0.0291
   -2.000     0.000  -0.031042   0.000059   0.000000   0.000059  -0.000000   0.000000  -0.020109   0.000000   0.000000   22.5530    -0.1062
   -1.500     0.000   0.004904   0.000003   0.000000   0.000003  -0.000000   0.000000  -0.028658   0.000000   0.000000   22.5530     0.9473
   -1.000     0.000   0.040853   0.000109   0.000000   0.000109  -0.000000   0.000000  -0.037213   0.000000   0.000000   22.5530     0.1467
   -0.500     0.000   0.076799   0.000376   0.000000   0.000376  -0.000000   0.000000  -0.045771  -0.000000  -0.000000   22.5530     0.0956
    0.000     0.000   0.112734   0.000805   0.000000   0.000805  -0.000000   0.000000  -0.054329  -0.000000  -0.000000   22.5530     0.0771
    0.500     0.000   0.148651   0.001396   0.000000   0.001396   0.000000   0.000000  -0.062884  -0.000000  -0.000000   22.5530     0.0675
    1.000     0.000   0.184544   0.002148   0.000000   0.002148   0.000000   0.000000  -0.071435  -0.000000  -0.000000   22.5530     0.0617
    1.500     0.000   0.220406   0.003062   0.000000   0.003062   0.000000   0.000000  -0.079978  -0.000000  -0.000000   22.5530     0.0577
