xflr5 v6.61

Plane name :        3d Wing analyses
Polar name :        T1-22.6 m/s-Panel
Freestream speed :  22.553 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.246254   0.003780   0.015593   0.019373  -0.000000   0.000000   0.031268   0.000000   0.000000   22.5530     0.0193
   -4.500     0.000  -0.210475   0.002760   0.013956   0.016716  -0.000000   0.000000   0.022740   0.000000   0.000000   22.5530     0.0162
   -4.000     0.000  -0.174651   0.001899   0.012330   0.014229  -0.000000   0.000000   0.014198   0.000000   0.000000   22.5530     0.0119
   -3.500     0.000  -0.138788   0.001198   0.010659   0.011856  -0.000000   0.000000   0.005644   0.000000   0.000000   22.5530     0.0053
   -3.000     0.000  -0.102895   0.000657   0.009454   0.010112  -0.000000   0.000000  -0.002913   0.000000   0.000000   22.5530    -0.0059
   -2.500     0.000  -0.066977   0.000278   0.009386   0.009663  -0.000000   0.000000  -0.011465   0.000000   0.000000   22.5530    -0.0291
   -2.000     0.000  -0.031042   0.000059   0.009454   0.009513  -0.000000   0.000000  -0.020026   0.000000   0.000000   22.5530    -0.1062
   -1.500     0.000   0.004904   0.000003   0.009574   0.009577  -0.000000   0.000000  -0.028596   0.000000   0.000000   22.5530     0.9473
   -1.000     0.000   0.040853   0.000109   0.009702   0.009810  -0.000000   0.000000  -0.037171  -0.000000   0.000000   22.5530     0.1467
   -0.500     0.000   0.076799   0.000376   0.009819   0.010195  -0.000000   0.000000  -0.045749  -0.000000  -0.000000   22.5530     0.0956
    0.000     0.000   0.112734   0.000805   0.009905   0.010711  -0.000000   0.000000  -0.054329  -0.000000  -0.000000   22.5530     0.0771
    0.500     0.000   0.148651   0.001396   0.009968   0.011365   0.000000   0.000000  -0.062906  -0.000000  -0.000000   22.5530     0.0675
    1.000     0.000   0.184544   0.002148   0.009998   0.012147   0.000000   0.000000  -0.071478  -0.000000  -0.000000   22.5530     0.0617
    1.500     0.000   0.220406   0.003062   0.010014   0.013076   0.000000   0.000000  -0.080043  -0.000000  -0.000000   22.5530     0.0577
    2.000     0.000   0.256229   0.004135   0.009995   0.014130   0.000000   0.000000  -0.088598  -0.000000  -0.000000   22.5530     0.0549
    2.500     0.000   0.292008   0.005368   0.009948   0.015316   0.000000   0.000000  -0.097139  -0.000000  -0.000000   22.5530     0.0527
    3.000     0.000   0.327733   0.006760   0.009909   0.016669   0.000000   0.000000  -0.105664  -0.000000  -0.000000   22.5530     0.0510
    3.500     0.000   0.363400   0.008309   0.009842   0.018151   0.000000  -0.000000  -0.114172  -0.000000  -0.000000   22.5530     0.0497
    4.000     0.000   0.399001   0.010015   0.009759   0.019775   0.000000  -0.000000  -0.122657  -0.000000  -0.000000   22.5530     0.0485
    4.500     0.000   0.434530   0.011877   0.009693   0.021570   0.000000  -0.000000  -0.131120   0.000000   0.000000   22.5530     0.0476
    5.000     0.000   0.469978   0.013893   0.009649   0.023542   0.000000  -0.000000  -0.139557   0.000000   0.000000   22.5530     0.0468
    5.500     0.000   0.505341   0.016062   0.009636   0.025698   0.000000  -0.000000  -0.147967   0.000000   0.000000   22.5530     0.0461
    6.000     0.000   0.540610   0.018382   0.009658   0.028040   0.000000  -0.000000  -0.156346   0.000000   0.000000   22.5530     0.0454
    6.500     0.000   0.575780   0.020852   0.009715   0.030567   0.000000  -0.000000  -0.164693   0.000000   0.000000   22.5530     0.0449
    7.000     0.000   0.610844   0.023470   0.009808   0.033278   0.000000  -0.000000  -0.173006   0.000000   0.000000   22.5530     0.0444
    7.500     0.000   0.645795   0.026233   0.009937   0.036170   0.000000  -0.000000  -0.181281   0.000000   0.000000   22.5530     0.0439
    8.000     0.000   0.680627   0.029141   0.010139   0.039280   0.000000  -0.000000  -0.189519   0.000000   0.000000   22.5530     0.0435
    8.500     0.000   0.715333   0.032190   0.010553   0.042743   0.000000  -0.000000  -0.197722   0.000000   0.000000   22.5530     0.0431
    9.000     0.000   0.749906   0.035380   0.011174   0.046553   0.000000  -0.000000  -0.205888   0.000000   0.000000   22.5530     0.0428
    9.500     0.000   0.784342   0.038706   0.011937   0.050643   0.000000  -0.000000  -0.214015   0.000000   0.000000   22.5530     0.0424
   10.000     0.000   0.818632   0.042168   0.012946   0.055114   0.000000  -0.000000  -0.222105   0.000000   0.000000   22.5530     0.0421
   10.500     0.000   0.852772   0.045761   0.015096   0.060857   0.000000  -0.000000  -0.230198   0.000000   0.000000   22.5530     0.0418
   11.000     0.000   0.886755   0.049485   0.017521   0.067006   0.000000  -0.000000  -0.238258   0.000000   0.000000   22.5530     0.0415
   11.500     0.000   0.920575   0.053335   0.020077   0.073412   0.000000  -0.000000  -0.246276   0.000000   0.000000   22.5530     0.0413


