xflr5 v6.61

Plane name :        3d Wing analyses
Polar name :        T1-22.6 m/s-VLM2-Inviscid
Freestream speed :  22.553 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.249163   0.003863   0.000000   0.003863   0.000000  -0.000000   0.026450   0.000000   0.000000   22.5530     0.0171
   -4.500     0.000  -0.214233   0.002854   0.000000   0.002854   0.000000  -0.000000   0.018218  -0.000000  -0.000000   22.5530     0.0137
   -4.000     0.000  -0.179258   0.001997   0.000000   0.001997   0.000000  -0.000000   0.009965   0.000000   0.000000   22.5530     0.0090
   -3.500     0.000  -0.144246   0.001292   0.000000   0.001292   0.000000  -0.000000   0.001694   0.000000   0.000000   22.5530     0.0019
   -3.000     0.000  -0.109202   0.000739   0.000000   0.000739   0.000000  -0.000000  -0.006592  -0.000000  -0.000000   22.5530    -0.0096
   -2.500     0.000  -0.074133   0.000340   0.000000   0.000340   0.000000  -0.000000  -0.014891  -0.000000  -0.000000   22.5530    -0.0322
   -2.000     0.000  -0.039047   0.000094   0.000000   0.000094   0.000000  -0.000000  -0.023200  -0.000000  -0.000000   22.5530    -0.0952
   -1.500     0.000  -0.003949   0.000002   0.000000   0.000002   0.000000  -0.000000  -0.031517   0.000000   0.000000   22.5530    -1.2782
   -1.000     0.000   0.031153   0.000065   0.000000   0.000065  -0.000000   0.000000  -0.039840   0.000000   0.000000   22.5530     0.2047
   -0.500     0.000   0.066254   0.000281   0.000000   0.000281  -0.000000   0.000000  -0.048165  -0.000000  -0.000000   22.5530     0.1164
    0.000     0.000   0.101345   0.000652   0.000000   0.000652  -0.000000   0.000000  -0.056490  -0.000000  -0.000000   22.5530     0.0892
    0.500     0.000   0.136421   0.001176   0.000000   0.001176  -0.000000   0.000000  -0.064813  -0.000000  -0.000000   22.5530     0.0760
    1.000     0.000   0.171475   0.001854   0.000000   0.001854  -0.000000   0.000000  -0.073132   0.000000   0.000000   22.5530     0.0682
    1.500     0.000   0.206500   0.002685   0.000000   0.002685  -0.000000   0.000000  -0.081443   0.000000   0.000000   22.5530     0.0631
    2.000     0.000   0.241489   0.003669   0.000000   0.003669  -0.000000   0.000000  -0.089744  -0.000000  -0.000000   22.5530     0.0594
    2.500     0.000   0.276436   0.004805   0.000000   0.004805  -0.000000   0.000000  -0.098032  -0.000000  -0.000000   22.5530     0.0567
    3.000     0.000   0.311334   0.006092   0.000000   0.006092  -0.000000   0.000000  -0.106306  -0.000000  -0.000000   22.5530     0.0546
    3.500     0.000   0.346177   0.007530   0.000000   0.007530  -0.000000   0.000000  -0.114562   0.000000   0.000000   22.5530     0.0529
    4.000     0.000   0.380957   0.009117   0.000000   0.009117  -0.000000   0.000000  -0.122798  -0.000000  -0.000000   22.5530     0.0516
    4.500     0.000   0.415669   0.010852   0.000000   0.010852  -0.000000   0.000000  -0.131011   0.000000   0.000000   22.5530     0.0504
    5.000     0.000   0.450306   0.012734   0.000000   0.012734  -0.000000   0.000000  -0.139200  -0.000000  -0.000000   22.5530     0.0495
    5.500     0.000   0.484861   0.014762   0.000000   0.014762  -0.000000   0.000000  -0.147361   0.000000   0.000000   22.5530     0.0487
