xflr5 v6.61

Plane name :        3d Wing analyses
Polar name :        T1-22.6 m/s-VLM2
Freestream speed :  22.553 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.249163   0.003863   0.015673   0.019535   0.000000  -0.000000   0.026792  -0.000000   0.000000   22.5530     0.0171
   -4.500     0.000  -0.214233   0.002854   0.014090   0.016944   0.000000  -0.000000   0.018494  -0.000000  -0.000000   22.5530     0.0137
   -4.000     0.000  -0.179258   0.001997   0.012436   0.014433   0.000000  -0.000000   0.010182  -0.000000   0.000000   22.5530     0.0090
   -3.500     0.000  -0.144246   0.001292   0.010819   0.012111   0.000000  -0.000000   0.001859  -0.000000   0.000000   22.5530     0.0019
   -3.000     0.000  -0.109202   0.000739   0.009423   0.010162   0.000000  -0.000000  -0.006468  -0.000000  -0.000000   22.5530    -0.0096
   -2.500     0.000  -0.074133   0.000340   0.009279   0.009619   0.000000  -0.000000  -0.014790   0.000000  -0.000000   22.5530    -0.0322
   -2.000     0.000  -0.039047   0.000094   0.009314   0.009408   0.000000  -0.000000  -0.023119   0.000000  -0.000000   22.5530    -0.0952
   -1.500     0.000  -0.003949   0.000002   0.009437   0.009439   0.000000  -0.000000  -0.031456   0.000000   0.000000   22.5530    -1.2782
   -1.000     0.000   0.031153   0.000065   0.009548   0.009613  -0.000000   0.000000  -0.039798   0.000000   0.000000   22.5530     0.2047
   -0.500     0.000   0.066254   0.000281   0.009681   0.009962  -0.000000   0.000000  -0.048144   0.000000  -0.000000   22.5530     0.1164
    0.000     0.000   0.101345   0.000652   0.009768   0.010419  -0.000000   0.000000  -0.056490  -0.000000  -0.000000   22.5530     0.0892
    0.500     0.000   0.136421   0.001176   0.009839   0.011015  -0.000000   0.000000  -0.064835  -0.000000  -0.000000   22.5530     0.0760
    1.000     0.000   0.171475   0.001854   0.009878   0.011732  -0.000000   0.000000  -0.073175  -0.000000   0.000000   22.5530     0.0682
    1.500     0.000   0.206500   0.002685   0.009892   0.012578  -0.000000   0.000000  -0.081508   0.000000   0.000000   22.5530     0.0631
    2.000     0.000   0.241489   0.003669   0.009891   0.013560  -0.000000   0.000000  -0.089830  -0.000000  -0.000000   22.5530     0.0594
    2.500     0.000   0.276436   0.004805   0.009851   0.014656  -0.000000   0.000000  -0.098140   0.000000  -0.000000   22.5530     0.0567
    3.000     0.000   0.311334   0.006092   0.009806   0.015898  -0.000000   0.000000  -0.106434   0.000000  -0.000000   22.5530     0.0546
    3.500     0.000   0.346177   0.007530   0.009761   0.017291  -0.000000   0.000000  -0.114711   0.000000   0.000000   22.5530     0.0529
    4.000     0.000   0.380957   0.009117   0.009676   0.018792  -0.000000   0.000000  -0.122967   0.000000  -0.000000   22.5530     0.0516
    4.500     0.000   0.415669   0.010852   0.009601   0.020453  -0.000000   0.000000  -0.131200   0.000000   0.000000   22.5530     0.0504
    5.000     0.000   0.450306   0.012734   0.009551   0.022285  -0.000000   0.000000  -0.139408  -0.000000  -0.000000   22.5530     0.0495
    5.500     0.000   0.484861   0.014762   0.009524   0.024286  -0.000000   0.000000  -0.147589   0.000000   0.000000   22.5530     0.0487
    6.000     0.000   0.519328   0.016934   0.009534   0.026468  -0.000000   0.000000  -0.155741  -0.000000  -0.000000   22.5530     0.0480
    6.500     0.000   0.553700   0.019249   0.009577   0.028827  -0.000000   0.000000  -0.163862  -0.000000  -0.000000   22.5530     0.0474
    7.000     0.000   0.587971   0.021705   0.009649   0.031354  -0.000000   0.000000  -0.171948   0.000000   0.000000   22.5530     0.0468
    7.500     0.000   0.622135   0.024300   0.009760   0.034060  -0.000000   0.000000  -0.179999   0.000000   0.000000   22.5530     0.0464
    8.000     0.000   0.656186   0.027033   0.009916   0.036949  -0.000000   0.000000  -0.188012   0.000000   0.000000   22.5530     0.0459
    8.500     0.000   0.690117   0.029901   0.010197   0.040098  -0.000000   0.000000  -0.195988   0.000000   0.000000   22.5530     0.0456
    9.000     0.000   0.723922   0.032903   0.010722   0.043625  -0.000000   0.000000  -0.203930  -0.000000  -0.000000   22.5530     0.0452
    9.500     0.000   0.757595   0.036035   0.011390   0.047425  -0.000000   0.000000  -0.211833  -0.000000  -0.000000   22.5530     0.0450
   10.000     0.000   0.791130   0.039296   0.012217   0.051513  -0.000000   0.000000  -0.219696  -0.000000   0.000000   22.5530     0.0447
   10.500     0.000   0.824521   0.042684   0.013692   0.056376  -0.000000   0.000000  -0.227541  -0.000000   0.000000   22.5530     0.0444
   11.000     0.000   0.857762   0.046196   0.015991   0.062187  -0.000000   0.000000  -0.235376   0.000000   0.000000   22.5530     0.0442
   11.500     0.000   0.890848   0.049829   0.018435   0.068264  -0.000000   0.000000  -0.243173  -0.000000   0.000000   22.5530     0.0440
   12.000     0.000   0.923771   0.053581   0.022076   0.075656  -0.000000   0.000000  -0.250983  -0.000000   0.000000   22.5530     0.0439


