row,alpha,CL,CD,CM,L,D,M,sequence
4,-5.0,-0.27469215488943977,0.01868928903718072,-0.028782206833223828,-13.307133567953626,0.9053802996592835,-0.2230911448428272,seq1
5,-4.0,-0.18796454648402133,0.011273201952076817,-0.00361506308679857,-9.21924934911903,0.552925866623505,-0.028369748345345665,seq1
6,-3.0,-0.11677799301875638,0.00903842046836234,0.011161098026937072,-5.623397235730458,0.4352414985329883,0.08599330907468339,seq1
7,-2.0,-0.04697172002874962,0.008442613976451973,0.018962285567094263,-2.285492287419448,0.41079034612806503,0.14762297787319995,seq1
8,-1.0,0.036105047041843696,0.007910723084452372,0.03515245441863389,1.7783357707772707,0.3896386512802832,0.27702660872126966,seq1
9,-0.0,0.12867708127328953,0.006871479392385231,0.05875720421239415,6.324421695119999,0.3377301763200008,0.46206250050230036,seq1
10,1.0,0.260162676743679,0.008014991460225674,0.09999152074653264,12.79598043389708,0.3942136327415833,0.7868858417620552,seq1
11,2.0,0.3504567401984182,0.009701302545001279,0.12287699027615727,17.40311816123755,0.48175108406527906,0.97629979887959,seq1
12,3.0,0.43824149161491077,0.011492514956613582,0.1432325494216849,21.330381921340344,0.5593713465102289,1.1154416151600535,seq1
13,4.0,0.5309111981909586,0.013635504569048926,0.16537900427702662,25.646802097174817,0.658692241506908,1.27823789987422,seq1
14,5.0,0.6246847967206142,0.016112789230201735,0.18802894200265646,30.043727641973124,0.7749320196777636,1.4468968291188138,seq1
15,6.0,0.7023241244267227,0.018182900690367463,0.20524846607069297,34.44299403955425,0.8917158307944126,1.6105092102358773,seq1
16,7.0,0.800989255456042,0.021511005213296193,0.22903720145757933,39.004106381641606,1.0474766421651418,1.7844716513044743,seq1
17,8.0,0.8812580302972208,0.02554015441521762,0.24743278300367627,42.36941507039366,1.2279279917770927,1.9033848293571174,seq1
18,9.0,0.9401114435189881,0.03020817951137988,0.2599257308397493,46.20905141139648,1.4848147309653006,2.044169812814527,seq1
19,9.0,0.9440854231177589,0.030233618101610293,0.26103669238021365,45.609068063495954,1.4605957385172856,2.017722545575877,seq1
20,9.5,0.9732596886456417,0.0333953627204442,0.2659321941103442,46.99683418131162,1.6125976884766562,2.0546164812341936,seq1
21,10.0,0.9892727722063235,0.038286283419286665,0.26713162845902166,48.35496348053825,1.8714068440559777,2.0891532449355554,seq1
22,10.5,1.0009902692092343,0.044421992557901725,0.26924772497121674,48.73995739856745,2.1629840882889138,2.097622412273855,seq1
23,11.0,1.0292980520409993,0.048699461265078695,0.272042659143782,49.61449825084139,2.347424374273393,2.098091608661595,seq1
24,11.5,1.0496329176809627,0.050435465202534085,0.2732518579099184,50.12775319417588,2.408667362959485,2.0879683115764145,seq1
25,12.0,1.0359947921614547,0.05527107280812086,0.2684616318206771,50.49049512915665,2.693704498822208,2.09340986134145,seq1
26,12.25,1.0133242406536642,0.054544013906701654,0.2601731461831468,48.744698558557545,2.623771749840779,2.0024487444292403,seq1
27,12.5,0.999653942825216,0.05624221487345688,0.2556141846963327,48.68442266056382,2.7390676342726823,1.991797916886528,seq1
28,12.74,0.9789779042776264,0.05919189553475786,0.25090279313026465,47.416081345602336,2.8669163230476165,1.9443670296410964,seq1
29,13.0,0.9645185497370738,0.06417917319999555,0.24876967889022794,46.93955753716176,3.1233634583076455,1.937072320104538,seq1
30,13.23,0.95460113501378,0.06721750805482403,0.2492291013712059,45.84406148500522,3.2280744900745417,1.9150489272274713,seq1
31,13.49,0.935420557982614,0.07517941795218726,0.24775941337116614,45.20830316177546,3.6333752656005616,1.9158497341599807,seq1
32,13.75,0.9260487403042869,0.08419172406644082,0.253127819409662,44.42871383801583,4.039236654917325,1.943075860010996,seq1
33,14.0,0.8933009607256852,0.09180017653586907,0.25133833769182057,43.14429837257966,4.433728811733875,1.9422464249961122,seq1
34,14.25,0.8832424333351907,0.10033421909633045,0.2537928957655435,42.203823379271,4.794252972707461,1.9403108625308347,seq1
35,14.5,1.0009568598069678,0.2085001020114361,0.33477361868562977,47.68544967194587,9.932916712293963,2.5517711999547927,seq1
57,14.75,0.9788980207709247,0.21733347411105164,0.335318491902437,47.25043226153281,10.490470282655671,2.589678328322314,seq2
58,15.0,0.9616372026455318,0.23997162223120944,0.3506636398550195,45.2991082134608,11.304159670305785,2.6429510213820357,seq2
59,15.25,0.9177507762791158,0.24234903191037793,0.3439562662463428,43.523276551813105,11.49312450670338,2.609876944285497,seq2
60,15.5,0.8753775844068201,0.2409674160669687,0.3322428913393075,42.62922269895385,11.734654651536502,2.5887354590456098,seq2
61,15.75,0.8328425008381988,0.2431240225751155,0.3250585114461819,39.732067946062024,11.598615794165717,2.4811888154559205,seq2
62,16.0,0.7878962452766997,0.24072785908971267,0.3131995761813665,37.66293229102692,11.507247447632736,2.3954452382809905,seq2
63,17.0,0.7031904052291308,0.23674524039513806,0.2815776223900164,33.285456571997635,11.206315329674892,2.1325523561215896,seq2
64,16.0,0.7854780714193901,0.23852491171492732,0.3105009216008143,38.35366587299911,11.64679842655516,2.425803908962838,seq2
65,15.75,0.8208355125373125,0.24083243521519643,0.3207307819737167,39.28182736076704,11.5252544492785,2.4558179590121276,seq2
66,15.5,0.8563988841637398,0.24263826908404085,0.33229053962940025,40.67902270354862,11.525339230745985,2.5254128011076395,seq2
67,15.25,0.9132328077318853,0.24054231841340706,0.3410156656115388,42.98995665623603,11.32340379696353,2.568501448413424,seq2
68,15.0,0.9332545638079665,0.23570867317264643,0.34221726187438234,43.99767602029347,11.112331232657413,2.581377437695415,seq2
69,14.75,0.9634662094515654,0.22804310701979913,0.34413482321413524,46.214694313447325,10.938569902942275,2.6411447337017195,seq2
70,14.5,1.000412476265915,0.21230290893827247,0.33831666538196814,47.322661652046456,10.04259639477009,2.560551047404401,seq2
71,14.25,0.9878525672750544,0.1801843443754137,0.3128939097102419,47.43152162172781,8.651511277350002,2.40376505326767,seq2
72,14.0,0.89046437093092,0.09160405003050633,0.25072519606982524,43.5535877822409,4.480454428560123,1.9621190368042412,seq2
39,13.75,0.9137030263029994,0.08392984009767013,0.2504895265148656,44.33004845979323,4.072016587059651,1.9444764925871765,seq3
40,13.5,0.9354389315584976,0.07667414096294839,0.2499636412958979,45.024876477662,3.6905067871570725,1.925014098697578,seq3
41,13.25,0.9547877676489288,0.06980733889356926,0.2489081755791433,45.37373441660858,3.317407032859734,1.8925912267453078,seq3
42,13.0,0.966594213914061,0.06427999801915496,0.24961880478630044,46.79785322945586,3.1121290295221864,1.9336551403342184,seq3
43,12.75,0.9793077867238581,0.059477444593973534,0.2515424105043025,47.62505203872899,2.8924679577957257,1.9572552045630143,seq3
44,12.5,0.9953853227273379,0.05607840530508359,0.25490963620055684,48.35946365738808,2.7244942650800317,1.9815109596323617,seq3
45,12.25,1.0060931271361282,0.05382317016632697,0.258239288488618,48.774156397578395,2.6092810384050167,2.0030596540256878,seq3
46,12.0,1.027561303076193,0.053827920138315735,0.2656509232619345,49.4360853675565,2.589667056505023,2.0448791414829546,seq3
47,11.75,1.0342466883440498,0.054842392203916096,0.26937230008632257,49.9253442108581,2.6473619292040387,2.0805101845421965,seq3
48,11.5,1.052130912764044,0.05086163198694547,0.2742593199848027,51.2702197163112,2.478481542045204,2.138340075255696,seq3
49,11.25,1.056536705128667,0.04760548901740859,0.2759349607486075,50.15538131665009,2.2599039321998293,2.0958474014596016,seq3
50,11.0,1.0285214241633973,0.047195847325316696,0.27122322934343057,49.711079881168345,2.2810964179541666,2.0974263524727914,seq3
51,10.5,1.006752060900535,0.04413871351292417,0.27046063579622975,48.083072939581996,2.1080910223345724,2.0667775486478055,seq3
52,10.0,0.9835026204440604,0.037598308595528825,0.26527497345144085,48.0729224847883,1.8377791142599313,2.0746329245369983,seq3
53,9.5,0.9819990952868198,0.03348195610538619,0.26813556199769856,48.058750094652,1.6385971930848677,2.099596226087793,seq3
54,9.0,0.9512560797034965,0.030131636754533904,0.26282271853669814,45.91920645925243,1.4545198486593762,2.0299241698921504,seq3
55,8.0,0.8763299026596743,0.025331701671604596,0.24617380508797224,42.43325901001815,1.226600455985069,1.907219060050516,seq3
